 1;    /img/aks/1.jpg;    Беспроводные наушники.;    2168;    1;    Наушники;    Bluetooth Наушники i9s с микрофоном! ;    черные,белые,серые,красные;    24 месяца; 
 2;    /img/aks/2.jpg;    Большие наушники беспроводные с микрофоном для телефона;    3340;    1;    Наушники;    Блютуз гарнитура для смартфона /Накладные портативные светодиодные;    черные,белые,серые,красные;    18 месяцев; 
 3;    /img/aks/3.jpg;    Беспроводные наушники PRO;    3586;    1;    Наушники;    Наушники с анимацией ! Cенсорное управление !;    черные,белые,серые,красные;    3 месяца; 
 4;    /img/aks/4.jpg;    Наушники проводные;    2567;    1;    Наушники;     Проводные наушники для Айфона с разъемом Lightning;    черные,белые,серые,красные;    6 месяцев; 
 5;    /img/aks/5.jpg;    Беспроводные наушники AirDots;    1888;    1;    Наушники;    Аирдотс A6R Dots / IPhone, Android ! Гарнитура. Черный;    черные,белые,серые,красные;    25 месяца; 
 6;    /img/aks/6.jpg;    Наушники проводные ;    3095;    1;    Наушники;    C микрофоном Defender Pulse 427, кабель 1.2 м;    черные,белые,серые,красные;    19 месяцев; 
 7;    /img/aks/7.jpg;    Наушники проводные;    2968;    1;    Наушники;    C микрофоном S8 / Гарнитура для телефона;    черные,белые,серые,красные;    4 месяца; 
 8;    /img/aks/8.jpg;    Наушники проводные;    2029;    1;    Наушники;     C микрофоном Defender Pulse 428, кабель 1.2 м;    черные,белые,серые,красные;    7 месяцев; 
 9;    /img/aks/9.jpg;    Проводные наушники с микрофоном Jack 3,5 ;    3143;    1;    Наушники;    Наушники для телефона, айфона / Наушники на айфон, iphone;    черные,белые,серые,красные;    26 месяца; 
 10;    /img/aks/10.jpg;    Наушники беспроводные;    2717;    1;    Наушники;    Игровая гарнитура с микрофоном и слотом для micro SD ;    черные,белые,серые,красные;    20 месяцев; 
 11;    /img/aks/11.jpg;    Наушники проводные;    3296;    1;    Наушники;    Аирдотс A6R Dots / IPhone, Android ! Гарнитура;    черные,белые,серые,красные;    5 месяца; 
 12;    /img/aks/12.jpg;    Беспроводные наушники AirDots;    2053;    1;    Наушники;    C микрофоном Defender Pulse 427, кабель 1.2 м;    черные,белые,серые,красные;    8 месяцев; 
 13;    /img/aks/13.jpg;    Наушники проводные ;    3254;    1;    Наушники;    C микрофоном S8 / Гарнитура для телефона;    черные,белые,серые,красные;    27 месяца; 
 14;    /img/aks/14.jpg;    Наушники проводные;    3509;    1;    Наушники;     C микрофоном Defender Pulse 428, кабель 1.2 м;    черные,белые,серые,красные;    21 месяцев; 
 15;    /img/aks/15.jpg;    Наушники проводные;    3070;    1;    Наушники;    Игровая гарнитура с микрофоном и слотом для micro SD ;    черные,белые,серые,красные;    6 месяца; 
 16;    /img/aks/16.jpg;    Беспроводные наушники.;    1639;    1;    Наушники;    Аирдотс A6R Dots / IPhone, Android ! Гарнитура;    черные,белые,серые,красные;    9 месяцев; 
 17;    /img/aks/17.jpg;    Большие наушники беспроводные с микрофоном для телефона;    2297;    1;    Наушники;    Bluetooth Наушники i9s с микрофоном! ;    черные,белые,серые,красные;    28 месяца; 
 18;    /img/aks/18.jpg;    Беспроводные наушники PRO;    1940;    1;    Наушники;    Блютуз гарнитура для смартфона /Накладные портативные светодиодные;    черные,белые,серые,красные;    22 месяцев; 
 19;    /img/aks/19.jpg;    Наушники проводные;    1789;    1;    Наушники;    Блютуз гарнитура для смартфона /Накладные портативные светодиодные;    черные,белые,серые,красные;    25 месяца; 
 20;    /img/aks/12.jpg;    Беспроводные наушники AirDots;    3847;    1;    Наушники;    Наушники с анимацией ! Cенсорное управление !;    черные,белые,серые,красные;    19 месяцев; 
 21;    /img/aks/13.jpg;    Наушники проводные ;    3467;    1;    Наушники;    Наушники для телефона, айфона / Наушники на айфон, iphone;    черные,белые,серые,красные;    4 месяца; 
 22;    /img/aks/14.jpg;    Наушники проводные;    2907;    1;    Наушники;    Игровая гарнитура с микрофоном и слотом для micro SD ;    черные,белые,серые,красные;    7 месяцев; 
 23;    /img/aks/15.jpg;    Беспроводные наушники.;    3293;    1;    Наушники;    C микрофоном Defender Pulse 427, кабель 1.4 м;    черные,белые,серые,красные;    26 месяца; 
 24;    /img/aks/16.jpg;    Большие наушники беспроводные с микрофоном для телефона;    3983;    1;    Наушники;    C микрофоном S8 / Гарнитура для телефона;    черные,белые,серые,красные;    20 месяцев; 
